,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
32,6.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00011035108048095324,0.011057166008696374,0.0005097463642210396,0.00010693955629221662,9.580441793182656e-05,0.00011382235026807485,0.00010948672417649467,0.00010523198182391137,0.00010652428715303574,0.00010140682514388648,0.00010155932330916902,9.920178270148122e-05,0.00010898356244782063,0.00010462074201128126,0.00011117842960501676,0.00011431296122915995,0.00011086167382099194,0.00010634235132888201,0.00010453742397895079,0.00010586713952832926,0.00011148048126827265,0.00010695648601674624,9.795379963196947e-05
33,6.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.056460673991023e-06,0.011057166008696374,0.0005097463642210396,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06,8.056460673991023e-06
34,7.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00011216466132314053,0.010786406618569298,0.0003901390244665831,0.00010396388798881507,0.0001082058087115945,0.00010638039686487779,0.00010056226971913843,0.00011092139083697433,0.00010236857288061981,0.00010092516072681306,0.00010690284273588637,9.840739576270091e-05,0.00010881231203209228,9.834337870331489e-05,0.00010944906181505988,0.00010640716107860977,0.00010838536313820166,0.00010270055687130938,0.00011173548734494337,0.00011857326422390997,0.00010596409393066261,0.00010443491881117853,0.0001041259720083728
35,7.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,7.487755036435401e-06,0.010786406618569298,0.0003901390244665831,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06,7.487755036435401e-06
36,8.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00010941349836251448,0.01427224495225151,0.00048152145840444564,0.00011313955543905262,0.00010924795386344745,0.00011596351423854861,0.00010744941170769397,0.00011155073226442256,0.00010785523742619645,0.00010619151290125086,0.00011216761827023809,0.00010956727335005794,0.00010027405275967656,0.00011651582722158884,0.00011693459448473308,0.00010814841299885199,0.00010933535157349953,0.00010313242159859207,0.00011363202987459994,0.00011047186183722614,0.0001028609004858336,0.0001007972963435599,0.00011342006113658788
37,8.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.387883364754456e-06,0.01427224495225151,0.00048152145840444564,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06,8.387883364754456e-06
38,9.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.0001045871782515356,0.011459614448943129,0.0005561989591523626,9.858212723958748e-05,0.00011129629431691508,0.00010612324344012411,0.00011335030455051475,0.00011106607130539167,0.0001155314466273352,0.0001069818397212149,0.00010910079109182674,0.0001182224676535511,0.00011355294767128133,0.00010302304116565684,0.00011260821201844499,0.00010757773471946817,0.00010253802536434651,0.00010530805544887947,0.00010865202302562572,0.00011237970041330621,0.00010937260435379063,0.0001178056508575814,0.00010441148634813867
39,9.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.366246108012488e-06,0.011459614448943129,0.0005561989591523626,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06,8.366246108012488e-06
40,0.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.25,0.00010566715580087463,0.006472478111825574,0.0003740303303695599,0.00010780525698102418,0.00010316788876683772,9.544947133044132e-05,0.00010779066090533497,0.00011054717887837125,0.00010207653574055312,0.00010058913645738543,0.0001001726659704361,0.00010357046550892907,9.796195891691444e-05,0.00010759739301945537,0.00010573505770544504,0.00011025553940753712,0.0001022991098384961,0.00010033069083335697,0.00010967204607953265,0.0001089586450836318,9.530229027675412e-05,0.00010265698254726859,0.00010259533169533586
41,0.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.25,4.938525175785079e-06,0.006472478111825574,0.0003740303303695599,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06,4.938525175785079e-06
42,1.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.25,0.00010548875375861988,0.007102817688040818,0.0002727708030999737,0.00010929094892257748,0.00010919449030078863,0.00010277727947701561,0.00010479716749372224,0.00010944203047869604,9.901555278990352e-05,0.00010583481931637239,0.00010703889820282478,0.00010322391203139956,9.549049372826634e-05,0.00010560148748679759,0.0001016572039409886,0.00010460949029585428,0.0001160546884234058,0.00010848466577311069,0.00010220875444884691,0.00010752666436345038,9.716935283347178e-05,0.00010165685585792218,0.00010059274928766559
43,1.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.25,4.7894865190187046e-06,0.007102817688040818,0.0002727708030999737,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06,4.7894865190187046e-06
